emp_id,gender,dept,total_months,working_days,absent_days,total_leaves,previous_salary,performance_rating,current_salary,is_risk
1001,Male,,109,22.0,1.0,4,138967.0,6,155860.76324862294,0
1002,Female,Sales,3,25.0,3.0,7,128691.0,8,119885.09361219742,0
1003,Male,,86,25.0,,1,88756.0,1,,1
1004,Male,Ops,48,23.0,6.0,12,81407.0,3,101587.19895002435,0
1005,Male,Finance,102,25.0,2.0,1,42522.0,7,43348.62187445284,0
1006,Female,Sales,22,25.0,4.0,4,93472.0,7,117471.86639709405,0
1007,Male,HR,40,20.0,7.0,9,32192.0,5,33443.50836689784,0
1008,Male,Tech,48,24.0,0.0,2,,6,,0
1009,Male,Ops,49,25.0,,1,135079.0,7,162952.50736539197,0
1010,Female,Sales,29,21.0,2.0,3,65264.0,10,77163.94272110597,0
1011,Male,Tech,74,21.0,5.0,12,44728.0,5,56535.46104108059,0
1012,Male,Ops,17,22.0,2.0,4,118679.0,3,153477.04101533702,0
1013,Male,Ops,106,,9.0,4,57321.0,9,58175.17700164249,0
1014,Male,Ops,7,21.0,9.0,6,132776.0,6,155816.641451091,0
1015,Female,Finance,43,23.0,4.0,2,115491.0,8,126122.77539426004,0
1016,Male,HR,35,21.0,5.0,14,89590.0,9,107149.96458657001,0
1017,Female,Ops,40,25.0,4.0,0,70980.0,5,91398.48545705367,0
1018,Female,Finance,67,20.0,0.0,12,,3,,0
1019,Female,Ops,77,24.0,8.0,14,35391.0,8,34156.73940648032,0
1020,Male,Ops,6,21.0,0.0,1,136309.0,10,160408.20772911806,0
1021,Female,Finance,81,21.0,2.0,4,146770.0,2,171750.6404934065,1
1022,Male,HR,2,20.0,9.0,1,145814.0,1,160981.71892630425,1
1023,Female,Tech,39,25.0,6.0,14,59224.0,2,65358.31902185572,1
1024,Female,Sales,102,21.0,4.0,10,134613.0,10,149058.18092592846,0
1025,Female,Ops,33,22.0,4.0,7,,1,47246.495962210814,1
1026,Female,,106,,7.0,2,96201.0,2,91910.9562437433,1
1027,Female,Sales,23,24.0,8.0,12,49663.0,2,49351.15565217541,1
1028,Female,Ops,116,21.0,2.0,10,149553.0,5,155402.0318648293,0
1029,Female,Sales,33,23.0,3.0,2,142639.0,8,142712.19609978175,0
1030,Female,Finance,89,21.0,2.0,10,103311.0,10,100188.13564810733,0
1031,Male,HR,78,25.0,7.0,3,81779.0,10,102299.44359702496,0
1032,Male,HR,99,22.0,3.0,0,127773.0,9,155970.23195405482,0
1033,Female,Tech,30,25.0,3.0,8,69720.0,10,86161.55837260932,0
1034,Female,Tech,9,25.0,9.0,5,68207.0,4,61687.14417561798,0
1035,Female,Sales,94,23.0,9.0,9,100275.0,1,129150.5497271494,1
1036,Male,Finance,71,25.0,5.0,4,118155.0,2,140683.4958657457,1
1037,Female,Sales,62,22.0,3.0,13,77211.0,1,,1
1038,Male,Ops,72,20.0,4.0,13,124858.0,6,132770.2978885867,0
1039,Male,HR,71,23.0,8.0,12,43995.0,8,50189.78499978137,0
1040,Male,Sales,106,23.0,6.0,14,39862.0,7,38468.88435594389,0
1041,Male,Sales,91,22.0,8.0,9,139679.0,6,,0
1042,Male,HR,25,22.0,8.0,12,87329.0,1,85845.74880697293,1
1043,Female,HR,47,20.0,4.0,14,147913.0,5,162619.59316001332,0
1044,Female,Tech,51,23.0,3.0,11,87774.0,3,97431.31843955726,0
1045,Female,Tech,88,25.0,2.0,7,109447.0,9,118377.98163114251,0
1046,Female,HR,28,23.0,2.0,10,148794.0,7,180954.099723576,0
1047,Female,Sales,98,25.0,8.0,12,111049.0,8,118098.37862813302,0
1048,Male,Ops,116,25.0,6.0,11,50575.0,5,64567.32419158859,0
1049,Female,Sales,74,23.0,3.0,11,140873.0,6,173311.8009015724,0
1050,Female,Ops,36,,,0,75771.0,9,94108.01688500994,0
1051,Male,HR,79,20.0,7.0,6,144885.0,8,174554.66527159142,0
1052,Female,Ops,61,,1.0,3,109257.0,2,132117.90670483885,1
1053,Male,Tech,102,23.0,7.0,7,95121.0,3,86688.43050796077,0
1054,Female,HR,67,24.0,7.0,7,47886.0,1,45573.50541826069,1
1055,Male,Finance,76,20.0,2.0,9,30338.0,7,37785.79298608835,0
1056,Female,Ops,33,25.0,7.0,8,88995.0,2,,1
1057,Female,Ops,62,21.0,5.0,12,94691.0,8,107646.02844586127,0
1058,Male,Finance,26,22.0,,11,132118.0,10,164961.08141867575,0
1059,Male,Finance,64,25.0,4.0,3,59869.0,4,,0
1060,Male,HR,105,25.0,0.0,8,103126.0,8,99604.79390397704,0
1061,Male,Sales,55,21.0,5.0,11,146724.0,7,137899.97228875264,0
1062,Male,Finance,105,22.0,3.0,12,58136.0,1,73668.11789583077,1
1063,Male,Ops,6,24.0,6.0,10,52203.0,2,56838.2940450821,1
1064,Male,Finance,67,20.0,3.0,7,110636.0,7,133368.9386688933,0
1065,Male,HR,91,21.0,4.0,2,121838.0,6,147375.71403348297,0
1066,Female,HR,105,22.0,,8,82222.0,7,85844.31311656063,0
1067,Female,Ops,14,23.0,4.0,5,95342.0,4,118285.3209929119,0
1068,Male,Ops,113,,0.0,14,86406.0,6,79910.26498065404,0
1069,Female,Ops,49,24.0,5.0,9,129084.0,7,141843.84908635172,0
1070,Female,Sales,50,20.0,5.0,9,125910.0,2,162693.87444257952,1
